K_new_from_k1k2,H_mean
7.043349644896408808e-03,8.392466648665580786e-02
8.475443312113746519e-02,2.164905174009350564e+00
-2.846220400790835825e+00,7.315281362201228044e-01
2.572905998181778675e-01,1.404411848969449039e+00
1.630899181981375068e-01,2.085285314870600537e+00
-7.979353102999471314e-01,6.367980259165447743e-01
-2.054528628309307603e+00,9.002427125082442805e-01
3.484607640616929070e-01,1.959380379418509621e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.949295773315756763e-01,9.315522939292305571e-01
2.435762345969609277e-01,5.173162383327707392e-01
-9.897811585748944596e-01,7.178766867425111498e-01
-5.834972896723908953e-01,4.558638455821122371e-01
4.889315308856513553e+00,2.673537277411033308e+00
6.818304631422501538e-01,2.059021132033868717e+00
-7.823592469059141574e-02,1.560857391342000966e-01
-9.906189285363251606e-01,9.510585720167846757e-01
2.228563354706097639e-03,3.320645820381652458e-01
-8.443615481878726792e-01,9.190657576180136790e-01
-3.174988530332389369e-01,1.513418675890606968e+00
-8.344307693617628585e-01,5.557055973172282393e-01
-1.186373795502403405e+00,1.103079010024125006e+00
-2.965070607095181998e+00,1.515841688360963113e+00
1.414937848872545487e+02,3.834903996503770429e+01
7.078508064732722538e-01,3.061868462633055898e+00
-3.760797292174447026e-01,5.287276059249212956e-01
-6.789008110849279465e-01,1.795903557200312806e+00
5.459593071551243959e+00,2.852864063877360135e+00
6.145452988811301448e-02,3.363485483356801198e-01
2.975266386447408262e-01,2.587415668551281911e+00
-1.262442436183518479e-01,6.129966225400096391e-01
6.784647819365862143e-01,8.236897364521341691e-01
-2.777861187894656858e-01,6.431170710458781192e-01
-6.006072217847618910e-01,7.462678093818214675e-01
-7.353920392875947787e-01,1.702873082982861330e+00
-8.417876437451818905e-01,2.151564926679693901e+00
-2.815546610221957846e-01,5.952359612180615489e-01
-1.351575090033622362e-01,1.177684125170024299e+00
-2.785304515011609028e-01,5.729455456396381763e-01
-1.117616331903882987e+00,9.110423909144113042e-01
-5.825856503393251479e-03,1.279497148364722447e-01
-1.037418916093482579e+00,1.845127447322820080e+00
-2.101359483446344975e-02,1.996415183415648276e+00
-1.354121650111214770e+00,1.030225206290285911e+00
-4.791857904686288583e-01,4.749066332011355196e-01
2.732493928709421205e+00,2.091249832784761065e+00
3.587745161231055691e-01,1.196659555065106240e+00
-1.481473158282140545e-01,8.637114763041280341e-01
-1.689658882049912769e+00,2.445047523927385280e-01
-3.647896318047571390e-02,9.355376362529740364e-01
-1.518124236315018284e-02,1.086448578773059337e-01
-1.104886104338003827e+00,1.304904888186732892e+00
-1.045092449995339567e+00,9.778218858813154668e-01
-5.954381909988442495e-02,5.507791145325513504e-01
-1.049289647501293166e+00,1.127188363351613543e+00
5.644843405908413214e-02,2.375887919475246080e-01
2.412981005570309645e-02,1.180825879438831549e+00
-6.889066171001274608e-01,5.870138560553915807e-01
-9.038369334389511067e-01,5.167953886989294920e-01
-1.092224201923312155e+00,1.015170079371676692e+00
-1.345136747644369857e+00,5.146111164952237305e-01
-1.658669658959584584e-02,1.204641629780060647e-01
